Education,Marital_Status,Income,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,age,Accepted_Cmp,duration,children,HighestPurchaseSource
College Graduate,Single,58138.0,635,88,546,172,88,88,3,8,10,4,7,0,66,Yes,14.047912388774812,0,catalog
College Graduate,Single,46344.0,11,1,6,2,1,6,2,1,1,2,5,0,69,No,12.542094455852157,2,store
College Graduate,Together,71613.0,426,49,127,111,21,42,1,8,2,10,4,0,58,No,13.086926762491444,0,store
College Graduate,Together,26646.0,11,4,20,10,3,5,2,2,0,4,6,0,39,No,12.61327857631759,1,store
PhD,Married,58293.0,173,43,118,46,27,15,5,5,3,6,5,0,42,No,12.673511293634498,1,store
Master,Together,62513.0,520,42,98,0,42,14,2,6,4,10,6,0,56,No,13.034907597535934,1,store
College Graduate,Divorced,55635.0,235,65,164,50,49,27,4,7,3,7,6,0,52,No,13.856262833675565,1,web
PhD,Married,33454.0,76,10,56,3,1,23,2,4,0,4,8,0,38,No,13.374401095140314,1,web
PhD,Together,30351.0,14,0,24,3,3,2,1,3,0,2,9,0,49,Yes,13.295003422313483,1,web
PhD,Together,5648.0,28,0,6,1,1,13,1,1,0,0,20,0,73,Yes,12.528405201916495,2,web
High School,Married,7500.0,6,16,11,11,1,16,1,2,0,3,8,0,47,No,13.856262833675565,0,store
College Graduate,Divorced,63033.0,194,61,480,225,112,30,1,3,4,8,2,0,64,No,12.851471594798083,0,store
Master,Divorced,59354.0,233,2,53,3,5,14,3,6,1,5,6,0,71,No,12.851471594798083,2,web
College Graduate,Married,17323.0,3,14,17,6,1,5,1,1,0,3,8,0,36,No,13.949349760438055,0,store
PhD,Single,82800.0,1006,22,115,59,68,45,1,7,6,12,3,0,77,Yes,13.826146475017111,0,store
College Graduate,Married,41850.0,53,5,19,2,13,4,3,3,0,3,8,0,43,No,13.744010951403148,2,web
College Graduate,Together,37760.0,84,5,38,150,12,28,2,4,1,6,7,0,77,No,14.05886379192334,0,store
Master,Married,76995.0,1012,80,498,0,16,176,2,11,4,9,5,0,74,Yes,13.486652977412732,1,web
Technical School,Single,33812.0,4,17,19,30,24,39,2,2,1,3,6,0,38,No,13.883641341546886,1,store
College Graduate,Married,37040.0,86,2,73,69,38,48,1,4,2,5,8,0,41,No,14.121834360027378,0,store
College Graduate,Married,2447.0,1,1,1725,1,1,1,15,0,28,0,1,0,44,No,13.708418891170432,1,catalog
PhD,Married,58607.0,867,0,86,0,0,19,3,2,3,9,8,0,74,Yes,13.74674880219028,1,store
PhD,Married,65324.0,384,0,102,21,32,5,3,6,2,9,4,0,69,No,12.695414099931554,1,store
College Graduate,Together,40689.0,270,3,27,39,6,99,7,7,1,5,8,0,72,No,13.514031485284052,1,web
College Graduate,Single,18589.0,6,4,25,15,12,13,2,2,1,3,7,0,54,No,13.71937029431896,0,store
College Graduate,Married,53359.0,173,4,30,3,6,41,4,5,1,4,7,0,47,No,13.322381930184806,2,web
College Graduate,Married,38360.0,36,2,42,20,21,10,2,2,1,4,3,0,34,No,13.311430527036277,1,store
PhD,Married,84618.0,684,100,801,21,66,0,1,6,9,10,2,0,58,Yes,12.83230663928816,0,store
Master,Divorced,10979.0,8,4,10,2,2,4,2,3,0,3,5,0,34,No,12.336755646817249,0,web
Master,Together,38620.0,112,17,44,34,22,89,1,2,5,3,3,0,60,No,13.366187542778919,0,catalog
College Graduate,Together,40548.0,110,0,5,2,0,3,2,2,1,4,5,0,53,Yes,13.949349760438055,1,store
PhD,Divorced,46610.0,96,12,96,33,22,43,6,4,1,6,6,0,71,Yes,13.897330595482547,2,store
Master,Married,68657.0,482,34,471,119,68,22,1,3,5,9,7,0,77,No,13.585215605749486,0,store
Master,Single,49389.0,40,0,19,2,1,3,1,2,0,3,7,0,72,No,13.065023956194388,2,store
PhD,Married,67353.0,702,17,151,0,8,35,5,5,6,12,2,0,53,No,12.725530458590006,1,store
Technical School,Married,23718.0,6,3,14,15,7,36,3,3,1,2,7,0,47,No,13.05407255304586,1,web
College Graduate,Widow,42429.0,55,0,6,2,0,4,2,1,1,3,5,0,50,No,12.61054072553046,1,store
PhD,Divorced,48948.0,437,8,206,160,49,42,2,7,10,5,6,0,80,Yes,13.637234770704996,0,catalog
College Graduate,Married,80011.0,421,76,536,82,178,102,2,8,6,5,4,0,43,No,13.399041752224504,1,web
Master,Married,20559.0,13,1,29,3,0,7,2,2,0,3,8,0,38,No,13.530458590006845,1,store
College Graduate,Together,21994.0,9,0,6,3,1,3,1,0,0,3,5,0,66,No,13.744010951403148,1,store
Master,Married,7500.0,3,1,10,3,2,12,3,2,0,3,5,0,48,No,12.971937029431896,1,store
College Graduate,Single,79941.0,123,164,266,227,30,174,1,2,4,9,1,0,47,No,12.235455167693361,0,store
Technical School,Married,7500.0,3,18,14,15,22,50,3,3,1,3,9,0,27,Yes,13.867214236824093,0,web
College Graduate,Together,41728.0,13,6,15,3,5,13,1,2,0,2,10,0,55,No,13.330595482546201,1,web
PhD,Married,72550.0,826,50,317,50,38,38,9,5,2,12,8,0,69,No,13.869952087611225,2,store
College Graduate,Widow,65486.0,245,19,125,37,67,14,1,4,2,10,2,0,66,No,12.36413415468857,1,store
Master,Married,79143.0,650,37,780,27,167,32,1,6,9,13,3,0,59,No,14.113620807665983,0,store
College Graduate,Single,35790.0,12,6,20,30,1,3,2,2,0,3,7,0,46,No,13.71937029431896,1,store
College Graduate,Divorced,82582.0,510,120,550,156,40,241,1,4,9,7,1,0,46,Yes,12.292950034223136,0,catalog
College Graduate,Married,66373.0,328,9,124,12,24,109,7,4,2,10,3,0,45,No,13.27857631759069,2,store
Master,Together,82384.0,984,51,432,180,120,190,1,3,10,13,1,0,68,Yes,13.839835728952773,0,store
College Graduate,Divorced,70287.0,295,35,482,121,120,40,1,5,5,10,3,0,57,Yes,13.47296372347707,0,store
College Graduate,Single,27938.0,13,0,8,2,1,5,1,1,0,4,3,0,35,No,12.402464065708418,1,store
PhD,Married,55954.0,447,0,28,0,0,43,3,8,2,6,7,0,55,No,12.555783709787816,1,web
Master,Single,75777.0,712,26,538,69,13,80,1,3,6,11,1,0,41,Yes,13.218343600273785,0,store
College Graduate,Together,66653.0,452,18,102,16,18,6,4,4,2,12,3,0,48,No,14.039698836413416,2,store
College Graduate,Single,61823.0,523,7,134,37,14,169,4,8,2,10,7,0,71,No,13.59069130732375,1,store
PhD,Widow,67680.0,546,0,48,0,6,6,1,7,3,8,5,0,72,No,13.281314168377824,1,store
College Graduate,Together,70666.0,398,40,367,119,122,30,1,7,4,4,4,0,75,No,12.793976728268309,0,web
College Graduate,Married,25721.0,1,3,6,3,6,15,1,1,1,2,7,0,52,Yes,13.338809034907598,1,store
College Graduate,Together,32474.0,10,0,1,0,0,0,1,1,0,2,7,0,56,No,12.366872005475702,2,store
Technical School,Single,88194.0,688,14,309,201,24,38,1,11,10,10,5,0,44,Yes,12.511978097193703,1,web
College Graduate,Together,69096.0,247,49,159,7,82,109,1,5,2,10,4,0,65,No,12.985626283367557,1,store
College Graduate,Together,74854.0,856,59,487,58,29,73,7,2,5,5,5,0,53,No,13.456536618754278,3,catalog
Master,Married,66991.0,496,36,460,189,60,12,3,4,8,6,3,0,69,No,14.028747433264886,0,catalog
College Graduate,Married,65031.0,258,107,291,84,37,86,4,10,3,13,7,0,64,No,13.516769336071183,1,store
PhD,Married,60631.0,565,6,65,0,6,19,5,9,2,8,7,0,48,Yes,13.464750171115675,2,web
College Graduate,Married,28332.0,14,10,13,4,15,9,1,2,1,4,2,0,71,No,12.396988364134154,0,store
College Graduate,Divorced,40246.0,2,1,6,2,1,1,1,1,0,2,6,0,46,No,13.757700205338809,1,store
Master,Married,75251.0,721,111,925,97,18,18,1,7,6,5,5,0,51,Yes,14.069815195071868,0,web
College Graduate,Single,75825.0,1032,105,779,137,105,51,0,5,8,9,4,0,47,Yes,13.943874058863791,0,store
Technical School,Together,26326.0,1,0,5,0,3,9,1,0,0,3,3,1,47,No,13.048596851471595,0,store
College Graduate,Together,56046.0,577,0,64,0,0,51,2,10,1,8,8,0,58,Yes,13.71937029431896,0,web
College Graduate,Single,29760.0,64,4,68,7,5,17,4,3,1,4,8,0,38,No,14.064339493497604,1,store
College Graduate,Married,26304.0,4,1,5,2,0,4,1,1,0,2,7,0,54,No,13.248459958932239,1,store
Technical School,Married,23559.0,25,5,19,7,0,23,3,3,0,3,7,0,50,No,13.221081451060916,1,web
Master,Together,38620.0,112,17,44,34,22,89,1,2,5,3,3,0,60,No,13.366187542778919,0,catalog
College Graduate,Divorced,81361.0,163,23,424,27,65,76,1,3,10,13,1,0,36,No,12.572210814510608,0,store
College Graduate,Married,29440.0,17,8,14,10,4,3,2,1,0,4,7,0,63,No,13.114305270362765,2,store
Master,Married,36138.0,130,0,16,0,0,5,5,3,1,4,7,0,53,Yes,13.1854893908282,2,store
College Graduate,Single,50388.0,292,6,37,0,3,34,4,6,1,6,7,0,66,Yes,12.320328542094456,1,web
College Graduate,Married,79593.0,350,60,568,110,133,145,1,5,6,7,2,0,50,Yes,12.36413415468857,0,store
College Graduate,Together,54178.0,135,9,39,4,0,7,1,2,2,5,2,0,56,No,12.668035592060233,1,store
Master,Single,42394.0,15,2,10,0,1,4,1,1,0,3,7,0,51,No,12.501026694045175,1,store
PhD,Married,23626.0,27,2,14,0,0,0,3,3,1,3,5,0,53,No,12.331279945242985,1,web
College Graduate,Married,30096.0,5,3,11,12,5,9,1,2,0,3,6,0,40,No,12.336755646817249,1,store
College Graduate,Widow,47916.0,505,0,26,0,0,75,5,7,4,6,6,0,63,Yes,13.831622176591376,1,web
College Graduate,Divorced,51813.0,51,2,7,0,1,2,2,2,0,3,7,0,51,No,13.44832306639288,2,store
Technical School,Married,78497.0,207,26,447,75,0,223,1,5,7,12,2,0,72,Yes,12.80766598220397,0,store
PhD,Married,50150.0,135,46,92,65,61,11,2,5,2,7,5,0,40,No,13.256673511293634,0,store
Technical School,Single,47823.0,53,1,5,2,1,10,2,2,0,3,8,0,63,No,13.166324435318275,1,store
PhD,Single,34554.0,41,1,6,2,0,5,2,2,0,3,6,0,64,No,12.48186173853525,1,store
College Graduate,Together,85693.0,386,172,183,185,132,111,2,9,5,11,5,0,44,No,13.423682409308693,1,store
PhD,Married,65846.0,562,81,276,80,40,81,1,6,3,6,4,0,78,No,13.349760438056126,0,web
College Graduate,Married,87195.0,217,76,690,50,26,38,1,3,11,5,1,0,64,Yes,12.375085557837098,0,catalog
High School,Together,24594.0,1,3,6,10,0,9,1,1,0,3,5,0,44,No,12.78302532511978,1,store
College Graduate,Married,49096.0,144,1,32,2,1,7,4,4,1,4,7,0,59,No,12.993839835728952,2,web
College Graduate,Married,52413.0,295,106,271,75,98,65,4,6,4,12,6,0,54,No,13.634496919917865,2,store
College Graduate,Single,38557.0,76,3,31,4,4,27,2,3,1,3,7,0,45,No,13.757700205338809,1,web
Master,Married,89058.0,454,194,106,31,22,43,1,5,4,4,2,0,63,No,13.790554414784394,0,web
College Graduate,Together,77298.0,425,115,292,23,35,79,1,6,6,11,3,0,44,No,12.8870636550308,1,store
PhD,Single,68126.0,1332,17,311,23,51,86,1,7,4,5,9,0,32,Yes,13.86447638603696,0,web
Master,Together,57288.0,527,0,21,0,0,60,3,8,1,8,6,0,60,Yes,12.243668720054757,1,web
College Graduate,Single,86037.0,490,44,125,29,20,22,1,6,7,11,3,0,32,Yes,13.71937029431896,0,store
PhD,Married,43974.0,378,0,101,0,0,72,5,6,4,6,7,0,43,No,13.776865160848734,1,web
College Graduate,Single,50785.0,64,1,21,0,1,27,2,2,1,3,6,0,61,No,13.032169746748803,2,store
College Graduate,Married,90765.0,547,99,812,151,82,33,0,4,6,5,1,0,53,Yes,12.659822039698836,0,catalog
Technical School,Married,36550.0,47,90,94,123,103,120,5,9,1,5,9,0,45,No,13.587953456536619,1,web
Technical School,Together,30753.0,12,5,25,0,9,30,2,1,1,3,5,0,56,No,13.19917864476386,2,store
College Graduate,Together,21918.0,1,6,7,11,5,3,2,2,0,3,6,0,54,No,12.854209445585216,1,store
Master,Together,56129.0,320,48,133,39,72,48,4,6,2,10,4,0,70,No,13.256673511293634,1,store
Master,Single,32557.0,34,3,29,0,4,10,3,2,1,3,5,0,56,Yes,12.574948665297741,1,store
Master,Married,19510.0,9,0,7,3,4,7,2,1,0,3,7,0,38,No,13.048596851471595,2,store
College Graduate,Divorced,30992.0,17,0,14,7,3,2,1,1,0,3,7,0,47,No,13.418206707734429,1,store
College Graduate,Single,101970.0,722,27,102,44,72,168,0,6,8,13,2,0,40,Yes,13.530458590006845,0,store
Technical School,Together,71488.0,162,33,124,40,28,172,2,3,4,7,1,0,58,No,13.59069130732375,0,store
College Graduate,Single,79607.0,450,133,951,173,0,216,1,3,6,6,1,0,39,Yes,13.42094455852156,0,catalog
Master,Married,54348.0,70,0,16,0,0,4,2,2,0,4,6,0,70,No,12.290212183436003,2,store
PhD,Together,77376.0,492,19,110,16,12,12,4,6,3,10,4,0,67,No,12.369609856262834,2,store
College Graduate,Married,62998.0,120,58,73,65,89,58,5,5,4,5,5,0,71,No,12.97741273100616,1,web
Master,Single,61331.0,534,5,47,0,5,41,5,11,1,6,8,0,65,No,13.535934291581109,2,web
College Graduate,Married,73448.0,236,106,189,23,41,130,1,7,2,9,4,0,54,No,12.61327857631759,0,store
PhD,Married,41551.0,220,0,33,3,0,23,5,5,1,5,8,0,59,No,13.10609171800137,2,web
PhD,Together,62981.0,796,14,590,38,44,0,1,4,5,13,3,0,56,Yes,13.516769336071183,0,store
High School,Divorced,9548.0,0,1,3,10,6,9,2,1,0,3,8,0,47,No,14.121834360027378,1,store
PhD,Married,33762.0,53,1,34,2,0,16,3,2,2,2,8,0,64,No,13.210130047912388,3,web
PhD,Single,35860.0,15,0,8,4,2,20,2,1,1,2,5,0,50,Yes,12.344969199178644,2,store
PhD,Divorced,36921.0,17,1,12,3,1,4,2,2,0,3,7,0,58,No,13.152635181382614,2,store
